feature,mean_abs_shap
us_aqi_mean,33.45156
pm2_5_mean,4.6192546
us_aqi_mean_rollmean_3d,2.0689976
surface_pressure_mean,2.0509863
us_aqi_min,1.9300112
us_aqi_mean_rollstd_3d,1.9069763
us_aqi_mean_rollmean_7d,1.7917575
relative_humidity_2m_mean,1.4494771
pm10_mean,1.2418063
us_aqi_mean_lag_3d,1.047643
day_of_week,1.0466619
us_aqi_max,1.0441307
cloud_cover_mean,0.92447025
wind_speed_10m_mean,0.8919002
temperature_2m_min,0.8727033
temperature_2m_mean,0.85004437
ozone_mean,0.80404705
dust_mean,0.70719516
nitrogen_dioxide_mean,0.56013495
us_aqi_mean_lag_2d,0.46837068
us_aqi_mean_lag_7d,0.4485514
day_of_year,0.40123135
sulphur_dioxide_mean,0.3806607
carbon_monoxide_mean,0.37647003
precipitation_sum,0.3683345
us_aqi_mean_lag_1d,0.29767323
dew_point_2m_mean,0.29514322
wind_gusts_10m_max,0.26685864
apparent_temperature_mean,0.24215402
wind_speed_10m_max,0.20528847
aqi_change_rate,0.18814473
us_aqi_mean_rollstd_7d,0.18288293
temperature_2m_max,0.13941352
is_weekend,0.0046184473
doy_sin,0.0023346224
doy_cos,0.0
month_cos,0.0
month,0.0
month_sin,0.0
