feature,mean_abs_shap
us_aqi_mean,28.013489
pm2_5_mean,12.787237
pm10_mean,3.5083375
us_aqi_min,1.6807487
us_aqi_mean_lag_1d,1.6222374
wind_speed_10m_mean,1.0174414
us_aqi_max,0.97627205
dust_mean,0.8299455
sulphur_dioxide_mean,0.74349195
cloud_cover_mean,0.6565259
carbon_monoxide_mean,0.649206
temperature_2m_max,0.50863755
wind_gusts_10m_max,0.441407
day_of_week,0.43957004
temperature_2m_mean,0.42806348
us_aqi_mean_lag_3d,0.42701903
surface_pressure_mean,0.41277483
us_aqi_mean_lag_2d,0.41136304
day_of_year,0.34257802
nitrogen_dioxide_mean,0.3128865
us_aqi_mean_rollstd_3d,0.29327673
us_aqi_mean_rollmean_7d,0.2654857
relative_humidity_2m_mean,0.26406056
us_aqi_mean_rollmean_3d,0.26287538
us_aqi_mean_rollstd_7d,0.23489423
ozone_mean,0.18384777
dew_point_2m_mean,0.17407466
temperature_2m_min,0.16597684
wind_speed_10m_max,0.16464768
us_aqi_mean_lag_7d,0.13260795
aqi_change_rate,0.1017094
apparent_temperature_mean,0.071169995
precipitation_sum,0.0704925
doy_sin,0.04781575
is_weekend,0.00041496105
doy_cos,0.0
month_cos,0.0
month,0.0
month_sin,0.0
